id;city_name;city_code;state_id
617;Sitapur;SI;34
618;Sonbhadra;SO;34
619;Sultanpur;SU;34
620;Unnao;UN;34
621;Varanasi;VA;34
622;24 Parganas North;PN;36
623;24 Parganas South;PS;36
624;Bankura;BN;36
625;Bardhaman;BR;36
626;Birbhum;BI;36
627;Dakshin Dinajpur;DD;36
628;Darjeeling;DA;36
629;Hooghly;HG;36
630;Howrah;HR;36
631;Jalpaiguri;JA;36
632;Koch Bihar;KB;36
633;Kolkata;KO;36
634;Malda;MA;36
635;Murshidabad;MU;36
636;Nadia;NA;36
637;Paschim Medinipur;WM;36
638;Purba Medinipur;EM;36
639;Purulia;PU;36
640;Uttar Dinajpur;UD;36
